Site,Region,Sex,SVL,HS,RW1,RW2,RW3,RW4,RW5,RW6,RW7,RW8,RW9,RW10,RW11,RW12,RW13,RW14,RW15
KUHN,East,M,85.5,630.062267,0.041974,-0.014253,-0.009040,-0.011386,-0.013901,0.003525,0.001995,0.001588,-0.011703,-0.004741,0.004427,0.000161,-0.008670,0.001108,0.004588
KUHN,East,M,79.6,460.881764,0.000733,0.001837,0.025878,0.008476,-0.010478,0.000059,0.011432,-0.006113,-0.001380,0.005531,0.003337,-0.002154,-0.002520,0.003287,0.000710
KUHN,East,M,96.8,654.561643,-0.014134,0.015729,0.012687,-0.030991,-0.025765,-0.007376,0.012291,0.008729,-0.003940,0.002179,0.009343,-0.001052,-0.000148,0.000245,0.008165
Miller,West,M,79.2,380.197093,-0.007256,-0.010753,0.032663,0.005627,0.016683,-0.009125,0.012796,-0.001019,0.001805,-0.009712,-0.006776,0.000123,-0.005035,-0.000293,0.005471
Miller,West,M,71.7,355.399677,0.001601,0.036461,-0.009235,-0.003676,0.001906,-0.001586,-0.021174,-0.025217,-0.009925,0.005053,0.018079,-0.005287,0.002318,0.004855,-0.004693
Miller,West,M,73,343.140866,-0.021504,0.042805,-0.000690,0.011558,-0.001352,-0.021424,-0.001135,-0.005591,0.012937,0.001142,0.001116,-0.004039,0.005179,-0.006554,0.005001
Miller,West,M,88,393.244012,0.006108,0.029136,0.025235,-0.008734,-0.009478,0.019224,-0.002416,-0.003684,0.020469,-0.006117,-0.001831,0.004313,-0.001227,0.000296,0.002876
OIL,West,M,49.2,700.561780,-0.003535,-0.010413,-0.001863,-0.016721,-0.013123,-0.012323,0.003583,-0.003043,-0.000833,0.002586,-0.005919,0.000255,0.005308,0.003188,0.003166
SW,West,M,78.2,677.107359,-0.004644,0.005626,0.009804,-0.011544,0.012842,0.013596,-0.000929,-0.002958,-0.000414,-0.001496,0.003128,-0.003189,0.003867,-0.001536,0.002290
SW,West,M,60.4,499.517357,-0.018178,-0.020741,-0.012980,0.021906,-0.009500,0.004891,0.000786,0.001455,0.003508,0.003224,0.001506,0.004507,0.007733,-0.008166,-0.000834
